date,day_of_week,calls_received,avg_wait_time_min,branch_foot_traffic,csat_score,social_engagement
2025-01-01,Wednesday,490,4.08,303,86.8,58
2025-01-02,Thursday,477,4.72,297,80.4,70
2025-01-03,Friday,541,4.12,426,78.2,56
2025-01-04,Saturday,242,2.9,150,83.3,63
2025-01-05,Sunday,187,3.03,113,81.8,74
2025-01-06,Monday,529,3.8,418,82.1,79
2025-01-07,Tuesday,493,4.89,296,78.6,90
2025-01-08,Wednesday,459,4.11,246,79.6,86
2025-01-09,Thursday,495,4.22,295,82.0,73
2025-01-10,Friday,537,4.11,435,83.8,70
2025-01-11,Saturday,258,3.21,145,86.5,90
2025-01-12,Sunday,177,2.76,102,86.8,86
2025-01-13,Monday,519,4.16,388,79.9,81
2025-01-14,Tuesday,529,4.24,333,83.6,65
2025-01-15,Wednesday,488,4.74,293,85.5,44
2025-01-16,Thursday,497,4.19,294,83.0,44
2025-01-17,Friday,547,4.47,449,80.9,48
2025-01-18,Saturday,244,3.68,151,82.6,54
2025-01-19,Sunday,163,3.43,87,83.6,42
2025-01-20,Monday,502,4.29,395,82.6,40
2025-01-21,Tuesday,480,3.93,283,81.3,37
2025-01-22,Wednesday,490,4.89,297,81.9,36
2025-01-23,Thursday,448,3.98,270,89.4,34
2025-01-24,Friday,557,4.34,417,85.3,41
2025-01-25,Saturday,267,3.03,181,81.8,41
2025-01-26,Sunday,200,2.77,112,86.2,34
2025-01-27,Monday,501,4.2,375,83.9,34
2025-01-28,Tuesday,534,3.97,316,85.3,35
2025-01-29,Wednesday,487,4.65,268,82.2,52
2025-01-30,Thursday,497,3.66,279,85.2,57
2025-01-31,Friday,557,4.49,424,82.7,62
2025-02-01,Saturday,256,4.1,161,80.0,70
2025-02-02,Sunday,153,3.33,109,82.6,78
2025-02-03,Monday,569,4.73,472,81.0,69
2025-02-04,Tuesday,521,3.91,312,84.2,81
2025-02-05,Wednesday,528,4.26,339,82.0,103
2025-02-06,Thursday,524,3.91,299,84.6,82
2025-02-07,Friday,599,4.69,466,79.6,73
2025-02-08,Saturday,261,3.71,160,80.7,86
2025-02-09,Sunday,178,2.74,109,86.1,75
2025-02-10,Monday,569,4.62,460,84.5,71
2025-02-11,Tuesday,521,4.44,320,83.5,109
2025-02-12,Wednesday,524,4.7,329,83.3,72
2025-02-13,Thursday,527,3.95,313,82.1,71
2025-02-14,Friday,629,3.85,501,79.5,61
2025-02-15,Saturday,289,3.49,157,82.5,65
2025-02-16,Sunday,158,3.11,96,83.5,72
2025-02-17,Monday,575,3.61,451,82.4,57
2025-02-18,Tuesday,525,4.2,322,84.9,36
2025-02-19,Wednesday,508,4.0,295,87.6,45
2025-02-20,Thursday,492,4.51,327,84.7,26
2025-02-21,Friday,579,4.94,441,82.2,42
2025-02-22,Saturday,253,3.32,103,82.1,33
2025-02-23,Sunday,149,3.65,68,82.9,36
2025-02-24,Monday,590,3.89,478,83.5,28
2025-02-25,Tuesday,548,4.41,320,82.5,35
2025-02-26,Wednesday,517,4.49,334,79.0,58
2025-02-27,Thursday,480,4.04,297,83.8,40
2025-02-28,Friday,585,4.25,448,84.8,53
2025-03-01,Saturday,263,3.74,162,85.8,60
2025-03-02,Sunday,160,2.81,107,87.3,60
2025-03-03,Monday,578,4.94,442,82.5,64
2025-03-04,Tuesday,548,4.76,341,83.6,81
2025-03-05,Wednesday,527,4.53,311,82.8,74
2025-03-06,Thursday,528,4.5,305,87.3,71
2025-03-07,Friday,580,4.9,464,82.8,87
2025-03-08,Saturday,276,3.06,167,83.6,92
2025-03-09,Sunday,173,2.75,99,87.0,80
2025-03-10,Monday,562,4.47,442,80.9,81
2025-03-11,Tuesday,556,3.78,313,81.9,82
2025-03-12,Wednesday,533,4.87,332,80.9,81
2025-03-13,Thursday,509,4.19,301,83.6,72
2025-03-14,Friday,612,5.15,476,81.7,80
2025-03-15,Saturday,269,3.49,162,84.6,64
2025-03-16,Sunday,176,3.29,128,87.2,82
2025-03-17,Monday,564,4.73,443,87.1,54
2025-03-18,Tuesday,538,4.05,291,81.8,49
2025-03-19,Wednesday,531,4.41,346,84.7,45
2025-03-20,Thursday,512,4.4,287,86.9,55
2025-03-21,Friday,595,3.8,484,83.4,51
2025-03-22,Saturday,248,3.09,149,85.3,35
2025-03-23,Sunday,187,2.7,110,86.4,40
2025-03-24,Monday,591,4.02,438,86.3,38
2025-03-25,Tuesday,540,4.92,326,84.1,36
2025-03-26,Wednesday,566,5.09,336,83.2,41
2025-03-27,Thursday,553,3.96,342,85.9,24
2025-03-28,Friday,583,3.63,451,85.8,53
2025-03-29,Saturday,278,4.08,146,78.8,45
2025-03-30,Sunday,183,3.1,79,85.0,39
2025-03-31,Monday,591,4.62,447,80.6,46
2025-04-01,Tuesday,542,4.69,310,82.9,56
2025-04-02,Wednesday,504,4.14,287,81.5,56
2025-04-03,Thursday,554,4.36,322,82.9,69
2025-04-04,Friday,589,4.71,470,80.3,70
2025-04-05,Saturday,267,2.47,137,90.0,92
2025-04-06,Sunday,168,3.29,106,92.5,91
2025-04-07,Monday,566,4.0,417,83.7,78
2025-04-08,Tuesday,518,3.97,295,87.5,92
2025-04-09,Wednesday,519,4.82,312,79.2,97
2025-04-10,Thursday,529,3.85,314,81.3,73
2025-04-11,Friday,610,5.3,455,81.8,76
2025-04-12,Saturday,263,3.14,145,85.2,72
2025-04-13,Sunday,178,3.07,103,83.0,70
2025-04-14,Monday,583,4.64,440,82.0,76
2025-04-15,Tuesday,514,4.43,299,83.7,59
2025-04-16,Wednesday,487,3.47,293,85.0,53
2025-04-17,Thursday,531,3.61,318,81.0,50
2025-04-18,Friday,595,4.14,458,85.4,45
2025-04-19,Saturday,287,3.01,180,89.0,26
2025-04-20,Sunday,159,3.26,92,85.8,37
2025-04-21,Monday,571,4.34,463,83.1,41
2025-04-22,Tuesday,538,4.1,316,84.0,33
2025-04-23,Wednesday,526,5.08,328,80.0,45
2025-04-24,Thursday,513,3.39,293,79.9,32
2025-04-25,Friday,595,5.15,469,80.1,43
2025-04-26,Saturday,233,3.37,151,80.9,47
2025-04-27,Sunday,180,2.93,117,91.2,43
2025-04-28,Monday,575,4.23,436,84.8,38
2025-04-29,Tuesday,547,4.13,335,83.7,58
2025-04-30,Wednesday,512,4.1,292,81.9,58
2025-05-01,Thursday,505,3.81,316,87.0,63
2025-05-02,Friday,595,4.18,446,78.4,77
2025-05-03,Saturday,269,3.38,166,81.8,90
2025-05-04,Sunday,166,3.1,111,86.4,76
2025-05-05,Monday,524,4.44,437,85.6,91
2025-05-06,Tuesday,506,3.79,302,83.8,90
2025-05-07,Wednesday,461,4.65,274,80.7,76
2025-05-08,Thursday,462,4.37,278,79.2,75
2025-05-09,Friday,556,5.02,430,77.2,83
2025-05-10,Saturday,253,2.26,151,86.4,89
