lead_id,organization_demo_name,business_type,locality_lahore,platform,contact_date,message_sent_demo,response_status,is_simulated
1,Cavalry Ground Restaurant #1,Restaurant,Cavalry Ground,Instagram DM,2026-07-30,"Hi Store Manager, my name is Areeba and I'm an intern with SafeX Solutions. I'm reaching out because I'm building a small forecasting/analytics dashboard project and thought a business like Cavalry Ground Restaurant #1 in Cavalry Ground could be a good fit for a short, no-obligation intro call about using simple demand forecasting for staffing/inventory planning. Totally fine to say no thanks - just let me know either way!",Interested - call scheduled,True
2,Sabzazar Auto Workshop #2,Auto Workshop,Sabzazar,Email,2026-07-28,"Hi Store Manager, my name is Zainab and I'm an intern with SafeX Solutions. I'm reaching out because I'm building a small forecasting/analytics dashboard project and thought a business like Sabzazar Auto Workshop #2 in Sabzazar could be a good fit for a short, no-obligation intro call about using simple demand forecasting for staffing/inventory planning. Totally fine to say no thanks - just let me know either way!",No response yet,True
3,Faisal Town Grocery Mart #3,Grocery Mart,Faisal Town,Instagram DM,2026-07-31,"Hi Store Manager, my name is Areeba and I'm an intern with SafeX Solutions. I'm reaching out because I'm building a small forecasting/analytics dashboard project and thought a business like Faisal Town Grocery Mart #3 in Faisal Town could be a good fit for a short, no-obligation intro call about using simple demand forecasting for staffing/inventory planning. Totally fine to say no thanks - just let me know either way!",No response yet,True
4,Allama Iqbal Town Bakery #4,Bakery,Allama Iqbal Town,Instagram DM,2026-07-30,"Hi Store Manager, my name is Ayesha and I'm an intern with SafeX Solutions. I'm reaching out because I'm building a small forecasting/analytics dashboard project and thought a business like Allama Iqbal Town Bakery #4 in Allama Iqbal Town could be a good fit for a short, no-obligation intro call about using simple demand forecasting for staffing/inventory planning. Totally fine to say no thanks - just let me know either way!",Not interested - thanked us,True
5,Faisal Town Grocery Mart #5,Grocery Mart,Faisal Town,LinkedIn DM,2026-07-27,"Hi Store Manager, my name is Ayesha and I'm an intern with SafeX Solutions. I'm reaching out because I'm building a small forecasting/analytics dashboard project and thought a business like Faisal Town Grocery Mart #5 in Faisal Town could be a good fit for a short, no-obligation intro call about using simple demand forecasting for staffing/inventory planning. Totally fine to say no thanks - just let me know either way!",Not interested - thanked us,True
6,Wapda Town Electronics Store #6,Electronics Store,Wapda Town,LinkedIn DM,2026-07-31,"Hi Store Manager, my name is Hamza and I'm an intern with SafeX Solutions. I'm reaching out because I'm building a small forecasting/analytics dashboard project and thought a business like Wapda Town Electronics Store #6 in Wapda Town could be a good fit for a short, no-obligation intro call about using simple demand forecasting for staffing/inventory planning. Totally fine to say no thanks - just let me know either way!",Interested - call scheduled,True
7,Wapda Town Salon #7,Salon,Wapda Town,Email,2026-07-28,"Hi Store Manager, my name is Areeba and I'm an intern with SafeX Solutions. I'm reaching out because I'm building a small forecasting/analytics dashboard project and thought a business like Wapda Town Salon #7 in Wapda Town could be a good fit for a short, no-obligation intro call about using simple demand forecasting for staffing/inventory planning. Totally fine to say no thanks - just let me know either way!",Interested - call scheduled,True
8,Askari 10 Mobile Accessories Store #8,Mobile Accessories Store,Askari 10,Instagram DM,2026-07-28,"Hi Store Manager, my name is Areeba and I'm an intern with SafeX Solutions. I'm reaching out because I'm building a small forecasting/analytics dashboard project and thought a business like Askari 10 Mobile Accessories Store #8 in Askari 10 could be a good fit for a short, no-obligation intro call about using simple demand forecasting for staffing/inventory planning. Totally fine to say no thanks - just let me know either way!",No response yet,True
9,Gulberg Pharmacy #9,Pharmacy,Gulberg,LinkedIn DM,2026-07-31,"Hi Store Manager, my name is Hamza and I'm an intern with SafeX Solutions. I'm reaching out because I'm building a small forecasting/analytics dashboard project and thought a business like Gulberg Pharmacy #9 in Gulberg could be a good fit for a short, no-obligation intro call about using simple demand forecasting for staffing/inventory planning. Totally fine to say no thanks - just let me know either way!",Interested - call scheduled,True
10,Allama Iqbal Town Print & Design Shop #10,Print & Design Shop,Allama Iqbal Town,LinkedIn DM,2026-07-30,"Hi Store Manager, my name is Hamza and I'm an intern with SafeX Solutions. I'm reaching out because I'm building a small forecasting/analytics dashboard project and thought a business like Allama Iqbal Town Print & Design Shop #10 in Allama Iqbal Town could be a good fit for a short, no-obligation intro call about using simple demand forecasting for staffing/inventory planning. Totally fine to say no thanks - just let me know either way!",Interested - call scheduled,True
